energy,price,parking,realstate,rooms,square_meters,terrace,wc,construction_year,zone
999.0,250000.0,['Sin plaza parking'],Proddigia Barcelona,2.0,50.0,,1.0,1900.0,"
                                    Sants
                                "
999.0,288000.0,[],i-now,2.0,56.0,58.0,1.0,,"
                                    Horta
                                "
144.0,338000.0,['Sin plaza parking'],BZ Gestio,4.0,113.0,9.0,2.0,1948.0,"
                                    Sagrada Família
                                "
999.0,398000.0,['Sin plaza parking'],Hiperfincas,3.0,95.0,50.0,2.0,1900.0,"
                                    Gòtic
                                "
138.0,850000.0,[],aProperties,1.0,126.0,,1.0,1900.0,"
                                    Dreta de l´Eixample
                                "
111.0,495000.0,['Sin plaza parking'],"Letsgocasa Real Estate, S.L.",3.0,110.0,60.0,2.0,1981.0,"
                                    El Clot
                                "
999.0,450000.0,['Sin plaza parking'],Cèntric BCN.,5.0,104.0,,2.0,1900.0,"
                                    Sant Antoni
                                "
999.0,219000.0,['Sin plaza parking'],Cèntric BCN.,2.0,67.0,4.0,1.0,1910.0,"
                                    Vila de Gràcia
                                "
111.0,495000.0,['Sin plaza parking'],comprarcasa Gand House,3.0,78.0,60.0,2.0,1981.0,"
                                    El Clot
                                "
999.0,454000.0,['Sin plaza parking'],SINGULAR PROPERTIES,3.0,116.0,,2.0,1955.0,"
                                    Sarrià
                                "
119.0,1250000.0,['Plaza parking '],Proddigia Barcelona,4.0,215.0,20.0,3.0,1996.0,"
                                    Sant Gervasi - Galvany
                                "
194.0,339000.0,['Sin plaza parking'],Tracte Immobiliari 2009,3.0,95.0,30.0,1.0,1963.0,"
                                    Sant Antoni
                                "
148.0,795000.0,[],aProperties,4.0,175.0,,2.0,,"
                                    Esquerra Baixa de l´Eixample
                                "
999.0,690000.0,['Sin plaza parking'],SINGULAR PROPERTIES,4.0,95.0,,2.0,1946.0,"
                                    Sagrada Família
                                "
138.0,415000.0,[],aProperties,2.0,90.0,,2.0,1900.0,"
                                    Poblenou
                                "
41.0,435000.0,[],Volumetric,3.0,94.0,10.0,2.0,2020.0,"
                                    Sant Ramon - Maternitat
                                "
162.0,265000.0,['Sin plaza parking'],hooli HOME,3.0,81.0,,1.0,1971.0,"
                                    Sant Andreu
                                "
,295000.0,[],Engel & Völkers,2.0,99.0,,2.0,1870.0,"
                                    Gòtic
                                "
